850 MB TRADE WIND INDEX(135W-120W)5N 5S  EAST PACIFIC                           
                    ORIGINAL        DATA                                        
                                                                                
YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    
1979  11.2   9.2   8.5   6.0   6.6   9.1   7.1   6.1   5.8   5.8   7.7   9.2
1980  10.1  10.2   9.1   8.5   9.3  10.2  11.4  11.1   9.9  10.7  10.2  12.0
1981  13.1  12.7   9.1   9.3  10.0   9.5  11.6   9.0  10.6   8.8  11.0  12.1
1982  11.6  11.7   9.8   7.0   8.0   9.0  10.2  10.5   6.3   6.7   6.0   5.9
1983   6.0   5.1   1.7   2.0   1.2   5.7   8.2  10.2   9.8  10.3  10.2  12.5
1984  12.2   9.2   7.1   7.1   9.3  11.5  12.3  10.1   7.6  10.0   9.6  13.5
1985  11.8  13.3  11.1   9.8  11.7   9.9   9.8  10.3   9.5   7.0   9.7  10.5
1986  13.2  11.0  10.1   9.3   8.5  10.0   9.7   8.2   8.1   6.5   8.6   9.7
1987  11.0   9.0   5.4   3.9   4.1   9.0   7.1   9.5   9.0   8.2  10.2  11.7
1988  12.5  11.1  10.1   8.0  11.8  11.0  13.2   9.6  10.6  10.8  10.5  12.7
1989  12.3   9.7   9.6  10.5   9.8   7.9  10.3   9.4   6.4   9.6   9.2   9.3
1990  12.6  10.2  10.0   8.2   7.6   8.0   8.3   9.3   7.4   6.7   9.3   9.1
1991  10.5  11.3   7.8   7.9   6.3   6.8   8.9   9.5   6.0   6.8   8.0   8.7
1992   6.4   8.4   6.2   6.3   6.9   8.4   9.3   9.2   6.1   9.5   6.7   9.7
1993   9.5   9.6   8.1   5.7   6.2   7.2   9.5   7.1   6.7   7.5   8.4  10.5
1994  10.2  10.8   8.8   9.3   8.2   9.4   9.9   8.7   6.6   5.0   6.2   9.2
1995   9.8   9.0   9.5   7.7   8.4   7.1   8.9   8.2   6.9   7.0  10.3   9.5
1996  11.8  13.1   9.4   8.5  10.1   8.4   9.7   8.2   8.5   7.2   9.3  12.9
1997   9.8  11.4   8.2   6.2   7.4   3.7   8.1   6.1   2.7   1.6   2.1   5.4
1998   5.3   2.0   2.0   0.1   6.5   6.6   9.4   9.4   6.5   8.8   9.2  11.0
1999  11.1   8.3   6.4   6.0   7.2   6.9   9.6   8.1   6.1   7.9  10.2  11.5
2000  12.8   9.7   5.8   6.7   6.4   7.6   7.9   9.6   5.6   8.6   8.3  10.5
2001   8.9  10.2   5.9   7.4   7.4   8.5   8.6  10.2   7.7   7.3   9.4  10.0
2002   9.8   8.9   8.3   7.8   6.1   7.8   6.9   8.6   6.1   7.2   7.8   8.4
2003  10.0   9.1   6.9   7.6   8.1   6.1   7.8   7.9   6.1   6.3   7.3   9.7
